200,200
52,148	53,149	64,55	52,147	63,56	63,54	62,55	51,34	64,56	51,33	64,54	51,35	63,55	53,148	53,33	53,147	52,149	52,34	53,150	52,33
102,180	102,179	104,180	7,184	104,179	6,183	103,180	8,183	103,179	7,183	106,138	136,86	135,86	136,87	107,137	134,86	106,137	105,137	135,87	6,184
113,42	34,7	112,43	35,7	6,111	112,42	38,150	113,43	36,7	37,149	37,150	35,6	200,200	34,6	112,41	4,111	36,6	5,112	5,111	6,112
1,189	1,191	96,183	97,180	98,180	1,190	42,55	165,186	166,186	97,182	43,55	165,187	43,56	0,190	97,183	97,181	166,187	98,181	42,56	41,56
181,189	3,128	74,146	3,138	2,138	2,137	3,137	3,139	74,147	184,56	73,146	184,55	73,147	185,55	184,54	75,147	185,54	4,138	2,129	196,199
162,124	107,193	107,192	169,79	12,45	169,80	108,193	12,46	142,177	141,177	161,123	141,178	11,46	162,123	161,124	168,79	168,81	12,47	108,192	168,80
181,73	183,71	132,11	132,10	66,73	66,72	183,72	182,71	182,72	183,73	182,73	65,72	25,39	66,71	67,72	131,10	24,39	181,72	132,9	25,40
199,162	7,4	198,162	46,156	118,134	7,3	6,3	198,163	6,4	47,156	119,135	46,155	119,134	199,161	198,161	120,134	8,3	199,163	47,155	8,4
12,3	46,184	165,118	47,183	49,183	14,4	164,120	165,120	48,182	48,184	13,3	14,3	164,119	47,184	46,185	48,183	13,4	164,121	12,4	165,119
71,61	188,70	71,62	188,69	188,68	69,62	106,34	145,159	80,113	105,34	145,160	187,69	105,33	80,112	80,111	79,113	70,61	70,62	79,112	185,137
