200,200
24,192	3,119	189,166	188,166	26,22	186,33	99,161	23,193	186,34	23,192	190,166	189,167	100,163	38,64	105,32	28,22	190,167	105,33	100,162	29,20	105,31	99,162	37,64	27,21	27,22	104,32	101,163	104,31	28,21	101,162
74,24	136,191	75,23	136,190	137,191	26,113	27,113	137,189	3,195	75,25	73,24	26,114	74,23	136,189	200,133	76,22	75,22	130,69	131,68	142,35	74,25	130,68	76,23	27,114	76,24	75,24	130,67	143,34	27,115	142,34
34,134	36,133	35,134	12,2	76,11	118,90	12,3	12,4	13,2	148,2	35,132	198,131	77,11	34,133	197,130	158,170	36,132	118,91	11,3	36,131	119,91	149,1	150,2	35,133	150,1	119,90	158,171	35,131	198,130	197,131
86,198	132,12	7,25	8,26	132,11	75,74	6,25	86,186	8,25	86,185	7,27	7,26	76,74	136,71	75,73	124,199	8,27	74,74	76,73	132,13	87,185	76,72	137,70	77,73	6,26	131,12	131,11	74,75	131,13	124,200
92,167	91,167	129,18	23,101	24,102	23,99	92,166	93,169	91,166	93,166	23,100	130,19	23,190	22,190	22,191	91,168	94,167	90,167	1,1	24,101	93,167	92,168	128,18	24,100	23,102	24,190	129,19	94,168	23,191	93,168
101,112	152,127	49,145	49,144	184,119	184,118	191,25	150,126	102,112	101,110	153,126	184,117	151,126	151,127	102,111	191,26	192,25	185,118	29,155	30,156	150,127	151,125	192,26	152,125	152,126	150,125	29,156	29,157	30,155	101,111
148,92	148,94	149,94	200,16	23,103	23,104	107,158	22,104	128,29	105,160	128,28	106,158	149,93	35,195	34,195	22,103	199,16	107,159	106,159	129,28	199,17	200,17	81,193	81,194	82,194	34,194	35,194	149,92	129,29	148,93
86,62	88,89	193,69	0,83	0,84	193,70	0,82	194,69	96,160	164,21	88,88	1,84	192,70	88,87	165,23	1,83	87,89	89,88	82,94	95,159	86,61	194,68	164,23	164,22	89,87	165,22	85,62	95,160	165,21	85,61
112,191	184,171	143,18	22,6	142,18	19,4	141,20	142,17	144,17	21,5	21,2	21,7	142,19	186,169	144,18	185,170	185,171	113,190	112,190	141,19	20,3	186,171	21,6	141,18	21,3	21,4	20,4	184,170	143,17	141,17
151,65	151,64	124,185	69,11	200,166	151,63	199,66	199,165	152,63	125,184	152,62	125,183	124,184	124,183	199,166	152,65	198,165	4,35	200,66	152,64	150,64	154,63	151,62	153,63	200,65	6,142	200,165	153,64	198,166	150,65
