150,150
63,39	102,108	62,37	102,109	103,108	129,134	128,134	39,129	62,38	39,130	63,37	130,135	64,40	145,16	62,40	9,7	130,134	63,38	38,128	62,39
129,87	140,4	50,120	51,121	75,120	75,119	128,87	121,124	141,4	75,118	128,86	129,86	0,18	51,120	123,125	76,120	122,125	52,120	140,5	76,119
66,149	31,61	66,147	6,14	65,148	86,2	32,61	66,148	32,62	4,14	88,3	31,62	88,1	67,146	67,145	67,147	66,146	87,2	88,2	5,14
43,99	43,100	25,56	115,8	111,66	110,66	114,7	24,113	44,100	45,100	64,65	115,7	26,56	26,57	111,67	110,67	25,113	27,56	103,149	27,57
63,121	145,2	77,6	115,91	77,5	62,121	62,122	61,122	4,43	115,93	63,120	115,92	114,93	62,123	5,43	114,91	62,120	63,122	114,92	4,44
135,34	139,148	135,36	139,144	133,35	140,148	134,36	135,35	134,35	140,149	140,147	1,148	139,147	140,146	32,0	139,145	1,149	140,145	2,148	134,34
53,44	52,44	54,44	148,5	130,122	6,134	50,67	50,68	57,121	54,45	57,122	130,123	56,121	129,123	129,122	53,43	49,68	53,45	6,133	5,134
13,53	26,82	14,53	13,52	4,1	27,82	4,0	14,52	5,0	12,52	27,81	5,1	100,7	99,6	13,51	101,6	99,7	98,7	100,6	26,81
70,144	143,130	86,53	43,74	85,52	85,53	42,75	143,131	8,143	142,132	70,143	42,74	71,144	71,143	7,144	142,131	8,145	43,75	9,144	8,144
64,76	89,67	23,9	116,129	63,75	22,10	117,130	114,130	22,9	116,130	114,131	22,8	21,9	88,65	89,66	90,66	64,75	113,132	63,76	115,130
